id,title,,categories:,lat,lng,description
70.1,"Castilla-La Mancha, Ciudad Real, Valverdejo",2019-02-26,Remedios,,,
71.1,"Castilla-La Mancha, Guadalajara, Villar de la Encina",2019-02-26,Remedios,,,
72.1,"Castilla-La Mancha, Guadalajara, Albalate de Zorita",2019-02-26,Remedios,,,
73.1,"Castilla-La Mancha, Guadalajara, La Bodera",2019-02-26,Remedios,,,
74.1,"Castilla-La Mancha, Guadalajara, Cogolludo",2019-02-26,Remedios,,,
75.1,"Castilla-La Mancha, Guadalajara, Mochales",2019-02-26,Remedios,,,
76.1,"Castilla-La Mancha, Guadalajara, Pareja",2019-02-26,Remedios,,,
77.1,"Castilla-La Mancha, Guadalajara, Peralveche",2019-02-26,Remedios,,,
78.1,"Castilla-La Mancha, Guadalajara, San Andrés del Rey",2019-02-26,Remedios,,,
79.1,"Castilla-La Mancha, Toledo, Tortuera",2019-02-26,Remedios,,,
80.1,"Castilla-La Mancha, Toledo, Cuerva",2019-02-26,Remedios,,,
81.1,"Castilla-La Mancha, Toledo, Espinoso del Rey",2019-02-26,Remedios,,,
82.1,"Castilla-La Mancha, Toledo, Montescarlos",2019-02-26,Remedios,,,
83.1,"Castilla-La Mancha, Toledo, Los Navalmorales de Pusa",2019-02-26,Remedios,,,
84.1,"Castilla-La Mancha, Toledo, Ocaña",2019-02-26,Remedios,,,
85.1,"Castilla-León, Ávila, Sonseca",2019-02-26,Remedios,,,
86.1,"Castilla-León, Ávila, El Arenal",2019-02-26,Remedios,,,
87.1,"Castilla-León, Burgos, Sotillo de la Adrada",2019-02-26,Remedios,,,
88.1,"Castilla-León, Burgos, Resneda de Río Tiró",2019-02-26,Remedios,,,
89.1,"Castilla-León, León, Peñaranda de Duero",2019-02-26,Remedios,,,
90.1,"Castilla-León, León, Barrilillos de las Arrimadas",2019-02-26,Remedios,,,
91.1,"Castilla-León, León, Cascantes de Alba",2019-02-26,Remedios,,,
92.1,"Castilla-León, León, Luyego de Somoza",2019-02-26,Remedios,,,
93.1,"Castilla-León, Palencia, Mena",2019-02-26,Remedios,,,
94.1,"Castilla-León, Palencia, Cervatos de la Cueza",2019-02-26,Remedios,,,
95.1,"Castilla-León, Palencia, Fuentes de Nava",2019-02-26,Remedios,,,
96.1,"Castilla-León, Salamanca, Villallano",2019-02-26,Remedios,,,
97.1,"Castilla-León, Segovia, Topas (Villanueva de Cañedo)",2019-02-26,Remedios,,,
98.1,"Castilla-León, Segovia, Abades",2019-02-26,Remedios,,,
99.1,"Castilla-León, Segovia, Adrada de Pirón",2019-02-26,Remedios,,,
100.1,"Castilla-León, Segovia, Castroserna de Abajo",2019-02-26,Remedios,,,
101.1,"Castilla-León, Soria, Cobos de Segovia",2019-02-26,Remedios,,,
102.1,"Castilla-León, Soria, Ágreda",2019-02-26,Remedios,,,
103.1,"Castilla-León, Valladolid, Noviercas",2019-02-26,Remedios,,,
104.1,"Castilla-León, Valladolid, Cogeces del Monte",2019-02-26,Remedios,,,
105.1,"Castilla-León, Valladolid, La Parrilla",2019-02-26,Remedios,,,
106.1,"Castilla-León, Zamora, Pozáldez",2019-02-26,Remedios,,,
107.1,"Cataluña, Barcelona, Otero de Sanabria",2019-02-26,Remedios,,,
108.1,"Cataluña, Barcelona, Arenys de Munt",2019-02-26,Remedios,,,
109.1,"Extremadura, Badajoz, Vic",2019-02-26,Remedios,,,
110.1,"Extremadura, Badajoz, Casas de Don Pedros",2019-02-26,Remedios,,,
111.1,"Extremadura, Badajoz, Fregenal de la Sierra",2019-02-26,Remedios,,,
112.1,"Extremadura, Badajoz, Hornachos",2019-02-26,Remedios,,,
113.1,"Extremadura, Badajoz, Puebla de la Reina",2019-02-26,Remedios,,,
114.1,"Extremadura, Cáceres, Segura de León",2019-02-26,Remedios,,,
